index,context,target,output,neg1,neg2,neg3
794,there are many brothers i still have not met.,i wish i was a musician.,I'd like to be a musician with my brothers I will meet.,I wonder what they get together in a shared house,I am not very good at meeting my own dog.,They all live alone.
795,there are many brothers i still have not met.,i wish i was a musician.,"I still don't know all of my siblings.  If I were a musician, I could travel the world and meet them.","I still need to meet many brothers my own age.  The more time I spend with my brother, the more I learn about them.",I still live my life one step at a time.,"i have met some brothers, but I have to get together with them to make run."
796,i am great with babies.,i love to draw.,My son is a toddler but I remember when he was a baby I loved to draw with him.,I get babies with my money.,I am not a driver but I am great at babysitting.,I am not so great with babies though.  I spend a lot of money on gas.
798,i make sure that i have some armament with me.,i can mimic a lot of different voices.,"Too bad each gun doesn't have a special sound to it, other than just a degree of blast or popping sounds.",I like to keep my arm arms covered in armor.,I like to get military related military items when traveling by choice.,I love my armament.  I hope to make friends in the fashion and beauty industries.
799,i make sure that i have some armament with me.,i can mimic a lot of different voices.,I went into the military with this skill because I allowed me to mimic the enemy's voices and sneak into their ranks with my armament.,"When you have finished all your chores, do you have time to go to the store and pick up some new materials?",I often take my father's old guns and show it to him.,"I can arm my wife to take down an enemy with my rifle, but she doesn't like that much."
800,i make sure that i have some armament with me.,i can mimic a lot of different voices.,"Why, are you in danger or something? Or is it just a hobby? Do you have any other hobbies?",Do you go to your best friend's house or what?,I always keep a small gun in my room.,I never reach things from high places.  Is that bad?
802,i have a lot of facial hair.,i am a ginger.,The hair on my head is ginger but my facial hair is more of a brown color.,My hair is super healthy now.,I want to look more like an animal- or a homeless person.,My beard grows throughout the months.
803,i have a lot of facial hair.,i am a ginger.,You do have a lot of facial hair and I love the color.  What do you think about my hair color?,It is like a bucket to me from the sun.,The only thing that can be done for you is a haircut.,i never let mine go too long.
804,i like reading a lot.,i also enjoy reading the game of thrones series books.,"i like to read game of thrones, and i like reading a lot.",I exercise more than I read.,I like to sit down and read my favorite novels.,"I have a lot of free time, and I write a lot,"
805,i like reading a lot.,i also enjoy reading the game of thrones series books.,I love fantasy books.,I love to read.,"I like reading about soccer, it is fun to read about the games and the soccer teams.","I like to read fiction, too."
807,i like watching tv in my free time as well.,i like to play sports and get fresh air.,I prefer being more active.,"I like to watch television, but I hate traveling to Europe.",I like to watch TV as well! Do you have any favourite tv shows?,I love watching sports too.
808,i like watching tv in my free time as well.,i like to play sports and get fresh air.,"I don't watch much TV, but I do like to watching sports, especially football and basketball.",I really enjoy to watch tv.,"I try to watch night programming with some friends, but it takes long to get back to sleep.  I like to watch morning TV with my free time.","i love watching tv at night as well, it helps me to fall asleep."
809,i enjoy taking things apart and putting them back together.,i now live on the other side of the country.,"I moved for a job at a repair shop, where I'm also often taking things apart and putting them back together. It's a lot of fun.",My mom takes me on trips so I can learn about all the things she's doing.,I like to travel a lot.,Traveling is fun.
810,i enjoy taking things apart and putting them back together.,i now live on the other side of the country.,I have loved taking things apart since I was young.,I like to put things together when I feel down.,i also enjoy being positive as a positive person.,"I take apart things from time to time, and I like to put them back together when I take them apart."
811,i enjoy taking things apart and putting them back together.,i now live on the other side of the country.,I enjoy working on projects so much I got a job in it.  I moved across the world to fix people's computers.,I once tried to make an aquarium.,I love to learn things through my exercises.,I like to do stuff in my leisure time and I like to take my time to put things together.
813,my spouse is a great cook.,i need caffeine to help me wake up.,I'm picky about what coffee I drink. My spouse has to spend half an hour making it just right so I get my caffeine.,I like cooking.  My spouse helps me with stuff like carving and baking.,I have two great cooks who come over to watch me ride on my plank.,I usually eat at the park with my wife
814,my spouse is a great cook.,i need caffeine to help me wake up.,I am useless in the morning before my coffee. Thankfully my husband does an amazing job with breakfast.,He can cook food for me to keep me going,he has good cooking skills.,He likes cooking with his wife's health.
815,my spouse is a great cook.,i need caffeine to help me wake up.,He fixes us great breakfasts every morning. I sit and drink my coffee while he cooks because,My spouse and I always had some good food at the table.,she made candy for me at the Halloween party.,My spouse likes to cook.
816,i like to prepare meals.,i have a bunch of kids.,I have to prepare over a dozen individual meals every day because my kids are hungry all the time and never seem to get full.,I like to prep food for my spouse as well.,I make a great chicken wing dinner at home and it is nice to know some military members like to cook.,My wife has to serve out her shifts with me because of my military service.
817,i like to prepare meals.,i have a bunch of kids.,For a bunch of peopleI would assume -- might make it more interesting!,I like to cook because I am prepared for anything I have to eat.,Sometimes I cook lunch at my home.,I make it a point to prepare a large number of meals when I vacation and I have food prepared for the guests when I am away from home.
818,i like to prepare meals.,i have a bunch of kids.,It's hard to fix meals for all my kids.,I eat a lot of food in my car.,I usually just lay across my living room tables and cook.,I know a lot of people that eat in their cars.
819,i have no job.,i have no hair.,"I am a bald, unemployed man.",I have no job either.,I work as a secretary at an old bookstore.,"I am not employed, so I don't get the books I read to work."
820,i have no job.,i have no hair.,I cannot afford a wig without a job.  So I just go around bald.,My father worked in the state farm yard.  My father worked for the government in the state farm yard.,Did you leave your job to join the party?,I wish that I had a job
821,i have no job.,i have no hair.,I think it's because of how I look that I have no job.,"I am starting college on August 15, 2016.",I work out at home,I'll study to be a lawyer or a teacher.
822,my best friends are felines.,i have way too many kittens.,I live in a house full of kittens and I love all of them.,"I like football as well. I want to play football, too.",I can't stand them.,I used to play soccer with my friends when I was a kid.
823,my best friends are felines.,i have way too many kittens.,"My best friends are felines and I can't get enough of them. As a result, I have too many kittens.",They are my favorite game.,I like to hang out and play on the weekends.,"My best friend is a cat, which is why we have to play games together."
824,my best friends are felines.,i have way too many kittens.,"People make fun of me for being a ""cat lady"" but I think of all my kittens as either my children or my best friends.",I've been playing the piano for years.,My best friends are also felines.,My best friends are cats
825,i help homeless animals.,i have rehearsals three nights a week.,i do that on nights that i am free and not doing dance rehearsal.,my job as a vet can be rough.,"i do too but if it doesn't bring me a place to live, i would rather help a local shelter.",I like to work with animals.
826,i help homeless animals.,i have rehearsals three nights a week.,I like helping animals.  I love it so much that I practice tending to animals in a play.,As well as a few other things.,I help homeless animals at the animal shelter on the street.,"I'm an animal advocate, and volunteer with the homeless."
827,i help homeless animals.,i have rehearsals three nights a week.,"I would like to help homeless animals too, but I'm very busy right now. I have to rehearse for a play three nights a week.",I am a living creature.,I used to help homeless animals when I lived alone.,I take care of the animals of different complexes around the city.
828,"i have a lot of hair on my face , but none on my head.",i care about appearances.,"I would be heartbroken if I lost my hair—but I'm very much into looking good, above all else.",I get this from my allergies.,That is because I'm gluten free.,That is not my hair.
829,"i have a lot of hair on my face , but none on my head.",i care about appearances.,I am thinking about getting a hair transplant.,I like to have a lot of hair on my head or my chest.,"I sometimes wonder if I look like a cat, or if they think I am one.",I always go bald when I'm home from work.
830,"i have a lot of hair on my face , but none on my head.",i care about appearances.,I am thinking about shaving.,When I'm not working I'm shaving it.,i don't know if i should work or not. My life is so important that i have to work to support it.,I prefer to shave my head but keep my hair on my head.
831,i am a natural brunette.,i like mr happy.,"Ohh, do you think you will ever dye it any other color. Oh look it's Mr. Happy! I heard he is recently single, what do you think about him?","I love being a natural brunette, but it is so exhausting to work with all of that red hair I get when I don't work for christmas, and I hate it. I love to decorate my costumes.","I'm all natural and I love Christmas, but I'm not so into that traditional dress I see online.",I don't really like Christmas because it's too fancy. I like spring now. That's why I hate Christmas.
832,i am a natural brunette.,i like mr happy.,Many men prefer blonde women but I am happy to marry a loving woman with a natural brunette,I am also naturally brunette.,It's great when you can reach your full potential.,I am also a natural brunette.
834,my parents are religious.,i need caffeine to help me wake up.,I prayed for energy but that never works.,I work on a bagging business at my parents house,My parents are both catholic.,"In my area, religious places often have grocery stores, so I work in a grocery chain."
836,my parents are religious.,i need caffeine to help me wake up.,My parents go to church early in the morning.  It takes a ton of caffeine to get me up though.,They don't allow me to go to school.,I think it's probably because I'm religious.,My parents are students at a public university. Both of them are against evolution.
837,my mother is in the hospital.,i like basketball.,"My mother is in the hospital so I spend a lot of time there visiting her, but it can get boring so luckily there's a basketball court nearby because I like basketball.",My mom's life has been hard.,Since I was a child I've been in the ER.,I had to come to the hospital because my mother in the hospital died.
838,my mother is in the hospital.,i like basketball.,I love chicken noodle soup.,My mum is in the hospital so I have to be there for her because my mom is in the hospital and I was at the bakery.,I make cake for my father who has trouble with mental illness.,"I've never had any work in my life, but I'm looking to do it as a baker."
840,i cant wait to drive.,i still am staying with my mom and dad.,I feel like such a child in many ways.,I love going to the woods.,"It is quite beautiful here, I cannot wait to get out of work in the summer.",The beauty of nature is that it always looks beautiful.
841,i cant wait to drive.,i still am staying with my mom and dad.,"Same here, but I am not allowed while I'm not independent.",It's so bright in here right now. I like grass.,"Me either, I love driving in the shade. My favorite color is green.",I love driving.  The only thing I hate is having to drive through teal grass at night.
842,i am in charge of my dad and moms company.,i like hitting the gym.,My parents own a gym.,I hate it when my dad and mother leave the country to go visit family.,I run my own lizard shop,My dad owns the company. I work part time as their pet caretaker.
843,i am in charge of my dad and moms company.,i like hitting the gym.,I like my work and the rest of my life being very separate.,What do you do?,I like to cook with my dad.,"My dad used to be with the company that makes hard boiled eggs for me, but I haven't been able to afford them."
844,i am in charge of my dad and moms company.,i like hitting the gym.,I work for my mom and dad too. I usually start the day by hitting the gym because it can be stressful.,My parents run the business with their kids and I'm the one doing the work.,My dad is always around with me.,I hate winter and the cold.
845,i like to walk through nature.,i have hit alot of attractions.,I like going to all types of places.,I love to walk through the woods too,"i like to walk through the snow and it feels like I'm walking through nature, but I hate it.  I hate the cold.",I love the cold.
846,i like to walk through nature.,i have hit alot of attractions.,My favorite attractions to visit are the natural ones like the Grand Canyon.,For me it is easier to exercise with nature.,I love walking through the woods.,I love to hike.
847,i like to walk through nature.,i have hit alot of attractions.,I love walking through national parks whenever I can.,I like walking to a place where there are cows.,It's hard to walk through the woods though. I like to eat beef.,I used to cook vegetarian meals but got a little too hungry.  I like walking about with animals eating vegetarian meats.
848,i love to workout.,i love the game halo.,My favorite hobby is hiking.,i like to work out.,I have a really big body.  I like to ride a big bike when I ride my car.,My first exercise was doing bodyweight weights.
849,i love to workout.,i love the game halo.,"Sometimes, I also like to just veg at home. I really love playing video games.",I spend so much time running to go the gym.,I never like going to work.,I love to run to my gym.
850,i love to workout.,i love the game halo.,I need to force myself to workout since I spend too much time sitting on the couch playing my favorite video game.  I love the game Halo.,Exercise is good for your health.,I love baking my body and exercising my body.,I love baking because I always gain weight and I don't care about what I eat. I am also a great baker.
851,i like going to concerts.,i do not go a full week of employment without a break.,"I can only go to concerts when I have a break from work, though.",I prefer mustard as food. I like to have mustard on my sandwiches or hotdogs.,I like going to concerts because it's usually free food.,I like watching sports by the mustard fields as well as eating hotdogs.
852,i like going to concerts.,i do not go a full week of employment without a break.,I like going to concerts which means i normally have to take a break during a workweek.,my favorite concerts are concerts about plants.,i am in the middle of a garden tour.,I have been going to concerts since I was little.
853,i like going to concerts.,i do not go a full week of employment without a break.,I attend concerts when I get a break.,I like to eat when I'm driving.,I am a driver for a local bakery.,I like to go to concerts because I like to take my car to the park.
856,my favorite place to visit is seattle.,i love to take road trips.,I took a road trip there last summer. I love road trips.,I like the mall a lot so I'd like to spend a lot of time there.,I like going to walmart to pickup some groceries,I love going to the mall where I work at Dillard's
857,i am a woman.,i have several children.,I'm also a woman and I'm a mother.,I like cats.  Maybe that's why I like dogs so much.,"I think they look beautiful. I love dogs, just like most people.",My wife is a dog!
858,i am a woman.,i have several children.,"Me too, do you have any children?","I like to go to swimming pools, but have a fear that I'm in too deep water.",I like to go swimming.,The sea is warm and beautiful. I like to swim in it.
860,i like to spend time at restaurants.,i am partial to shades of grass and teal.,There is a restaurant I like to go to that has some nice ecor. It is in shades of teal.,I have a lot of free time to work as a tech when I'm not working.,I like to cook when not working.,I like to eat out whenever I can.
861,i like to spend time at restaurants.,i am partial to shades of grass and teal.,My favorite restaurant has outdoor seating on grass and is decorated with a teal and green color scheme.,I work at a restaurant that serves only chicken.,I work as a waiter,I like to stay in Europe and enjoy my free vacations.
862,i like to spend time at restaurants.,i am partial to shades of grass and teal.,There is this new restaurant with a really cool design,I take my time at restaurants so I can meet new people.,I like to eat at restaurants.,I have so much time at restaurants because I like to learn about restaurants.
863,i like to spend time at restaurants.,i am partial to shades of grass and teal.,I like eating out but too much junk and soy and etc. in street food. What non-restaurant foods do you like?,I like to cook for my family,I like to take my kids to restaurants.,I have two kids.
864,i like to spend time at restaurants.,i am partial to shades of grass and teal.,I love the shades of grass so much that even when I'm dining in at restaurants I want a window seat so I can admire the grass outside.,When I'm not working I'm playing video games.,What do you like to cook?,I like to go to restaurants too because I'm always hungry and can't eat while working.
865,technology and programming will train me for my future career.,my mother is in law.,i'm thinking of becoming a computer programmer or becoming a lawyer.,I've been coding for a few years and I love candy.,"Programming has been a huge help in my career, because I use technology in my job.",I hope to design a computer to better my future job.
866,technology and programming will train me for my future career.,my mother is in law.,My mom says her law office is introducing new technology to stay modern. She doesn't know the first thing about programming and has to undergo training.,I don't want to work in a world of change.,I have been studying computer programming for years.,"I also wish I could quit my job while I am younger, though."
868,i have a lot of plants in my house.,learning is exciting to me.,I like to learn a lot about plants.,I live in Germany.,I like to live dangerously.,I have many Japanese plants.
869,i have a lot of plants in my house.,learning is exciting to me.,I like to learn about plants.,My new plants are going up around Christmas!,My yard is decorated with plants.,I decorate as my family is visiting.
870,i have a lot of plants in my house.,learning is exciting to me.,Plants are interesting living things to study.,I plant plants and live right next door to the Lebron James garden,I love plants too.,I'm constantly on the lookout for plants that I can take care of.
871,i have a lot of plants in my house.,learning is exciting to me.,I have a lot of plants in my house which has led to creating a exciting learning environment.,I just found my plants. I love gardening.,I love to learn about plants.,I was in college too when I went to college.
872,i have a lot of plants in my house.,learning is exciting to me.,I've always wanted to know more about plants,"I had a huge plant in my house once, and it had red hair color, so I dyed it.",Whenever I am not in the garden I burn them in the sun.,"I don't want them to be pink, do i?"
873,i have a lot of plants in my house.,learning is exciting to me.,"As well as plants, I also have many books.",I like having fresh veggies on my plate.,I have a lot of plants in my house.,I have a lot of plants in my house because I need them to be able to run distance without having to stretch.
874,i like to drink tea.,i like to eat hard boiled eggs.,Tea is good and I find food goes well with tea.,I once watched a documentary about one of the parents drinking tea.,I like to drink tea with my children,My father takes me for walks when I'm away from my kids.
875,i love to go shopping.,my favorite pizza is pepperoni.,I only like shopping for food ingredients.  I make my own pizza.,I prefer to help people find things.,I bought clothes for my wife on her honeymoon.,I have a lot of fun shopping
876,i love to go shopping.,my favorite pizza is pepperoni.,I have to go to work tomorrow.,It's tough living in an apartment with a ton of cars.,It is nice to have a shopping area next to some of the nicer cars in the town.,I like shopping because I get excited because I am surrounded by cars.
877,i love to go shopping.,my favorite pizza is pepperoni.,There is a mall that I like to go to.  I like to go to the food court and get pepperoni pizza there.,When I am home.  I spend time by my flower shop.,I have to stay active every day.,I like to go to the garden to get flowers.
878,i have not told my family that i am interested in the same sex.,i want candy.,"That is really scary to talk about because you don't know how your family will react. I completely understand, I went through that too. Do you want any of this before we keep talking?",My family tells me I'll be into anything that involves me piloting.,My family has told me I like guys and not girls.,"I guess you like the thrill of getting your first pilot license either way too, huh? You've really changed your mind about everything."
879,i have not told my family that i am interested in the same sex.,i want candy.,My family doesn't know I'm gay.  My new boyfriend is a guy at the candy shop I love to visit.,My family doesn't really care about my sexuality.,My family doesn't know that because I'm not told that I'm interested in them.,I am not interested in romance.
880,i have not told my family that i am interested in the same sex.,i want candy.,"When I was growing up, my parents disapproved of two things: eating candy and being gay.",I have told my family I am on a sexual transition and exercise a lot,I don't have a lot going on with my life so I just pretend to exercise when I am not with my family.,I don't want to scare the kids either.
881,i like to travel to other countries.,i want to talk german.,"I'm planning to travel to Germany, but I want to speak the language first.",I do to.,The only time I really enjoy traveling is going to other countries.,"I love traveling to other countries, I love traveling with my cat."
882,i like to travel to other countries.,i want to talk german.,I haven't been to Germany yet.,"I'm a bit of a travel person, but I'm also really into music.",I like to do that a lot.  I like to study abroad too.,I've been travelling all over Europe to learn different things about different countries.
883,i like to travel to other countries.,i want to talk german.,"I like traveling to other countries. For instance, I'd really like to go to Germany but I want to talk German when I do.",I am a parent to 3 kids.,My kids love trips.,I have 2 kids.  I like travelling.
884,my dad sold plans for his job.,i like to act out side of class.,"When I'm not acting, I'm selling things door to door for a weekend job.",My dad was a computer programmer.,I want to learn programming to work a tech job.,My dad has always taught me to be ambitious in life.  When I see a new job opportunity I always want to do that.
885,my dad sold plans for his job.,i like to act out side of class.,I am different from my dad,My dad is a fortune teller and he told me all the companies he worked for collapsed because of the sodium in the food.,My dad sold car repairs in the 80s.,My dad works at a candy store
886,my dad sold plans for his job.,i like to act out side of class.,"I tried sales, but I was more interested in acting.",My dad was a salesman for a company that bought an old house for a huge yard as part of a huge renovation.,I wish I could go running a bit more often.,My dad works at a construction company which is why he likes exercising in the cold.
887,i do not like animals.,i love cars.,"I don't either, but I have a few vehicles that I care for like pets because I love cars.",I live in a place where the animals are kept as pets and I don't like the idea of people keeping pets as pets.,I think that's kind of selfish. I like to eat food as friends,"Me neither, that's why I'm vegetarian."
888,i do not like animals.,i love cars.,Me either. I only love cars.,I don't want to eat them because they smell like fish food.,Me neither.,I'll take you to a park and give you some candy.
889,i do not like animals.,i love cars.,They are messy. But I like mechanical things.,"I am not a big fan of loud noises.  My favorite genre is classical music, and I like listening to it at least once or twice a day.",I don't like hearing loud sounds from my phone when I am listening to music.,I like listening to music with my dog.
890,i love going to the gym.,i am currently on a diet.,I really want to lose weight but working out isn't enough so I'm also currently on a diet.,I like mustard when I go to the gym because I don't eat much of it.,When I go to the gym I bring a packet of mustard packets to put on my burger.,I have to go to the gym every day to get my work in because my gym has mustard stains.
893,i make the greatest dessert all my friends say so.,my preferred style of jeans is from the dk line.,I just hate it when dessert gets on my clothes.,"I'm a teacher, so I enjoy helping people fall asleep.",My best friend is a chef and can convince me of great desserts.,I am good at baking.
894,i make the greatest dessert all my friends say so.,my preferred style of jeans is from the dk line.,I like my jeans too much to let myself eat many desserts.,"When I eat dessert at home, I also like to read and walk on sunny days.",I love baking.,I hate to be picky but what dessert do you like to make?
895,i make the greatest dessert all my friends say so.,my preferred style of jeans is from the dk line.,"I like dessert, but if I eat too much, I won't be able to fit into my jeans.  I like things in the DK line.",I eat a lot of cake when I am not at school.,That's cool. My mom always told me I have to be the best cook because my siblings always want to try my favorite dessert.,"My parents don't seem to believe this so I make it their own, since I am the only one that knows how to make desserts, and only once their genes had passed on."
896,my dad drove a truck.,i drive long distances for work.,He gave me his truck when he passed away.,"My dad owned a truck as a business, but if I had said anything about advertising, he would've been fired from the truck company.",My dad and I grew up in a small marketing consultancy business.,"I use to be a truck driver, now I work in marketing."
897,my dad drove a truck.,i drive long distances for work.,My job is about an hour away.,"My dad drives a truck and I follow my dad because I really like to eat and I think trucking is important, but I care about the environment.","My dad also drives a truck, but it doesn't necessarily mean I drive one too.",My dad drove a truck because I care about the environment.
898,my dad drove a truck.,i drive long distances for work.,"That must be a difficult job. I have a long commute every day, so I can imagine what it must be like.","I have a truck, why do you like animals?",My dad was a big animal enthusiast.,My father would help me pick a truck for driving
902,my twins help me with everything and a place to stay.,some would compare me to fine wine.,"My twins help me with everything, including a place to stay. It has me aging like fine wine.",My husband and I stay at the same place and we love it.,Two brothers helped me to stay in a really good place.,I had to leave my home when my twins became good at teaching.
903,my twins help me with everything and a place to stay.,some would compare me to fine wine.,I've gotten a bit carless in my old age.,I go to the hospital after my twins get beat up on TV.,My twins help me with everything and I take them on television broadcasts.,I got my twin to help me with a lot of things.
904,my twins help me with everything and a place to stay.,some would compare me to fine wine.,It's nice to have the tables turn where your children take care of you now.,I stay at the Washburn Inn,My brother is a Nationals fan.,I love cleaning and I have to move away from the washington nationals.
905,i like the pool.,i like vegetables.,"I love to be around the pool, especially during cookouts were people are grilling vegetables.",I moved to a new neighborhood and its just a nice little pool with a nice patio.,I don't want to be homeless and have to live with me now.,I moved out of my parents to live with my family because I am too lazy to pick up a new pool.
906,i like the pool.,i like vegetables.,I reward myself after going to the pool by eating a hearty meal.,My brother and sisters like the pool when I go to visit them.,My brother and sister live next door to me so I like going to the pool with them to play some sports with.,"I like having my siblings sit in the pool and play with me,"
907,i like the pool.,i like vegetables.,it is next to the garden,I like the water.,I like to go to the pool as a vegetarian and eat a vegetarian vegetarian option of some kind.,"When my brother and I go to the pool on Sundays, we usually go out for a seafood burger."
908,i buy a lot of clothes.,my favorite films are little mermaid and finding nemo.,My favorite hobbies are buying clothes and watching films.,I like to look good in my clothes.,I need new materials for my clothing.,After I graduated from college I bought new clothes for my job.
909,i buy a lot of clothes.,my favorite films are little mermaid and finding nemo.,I love clothes shopping especially when I can find cute stuff from my favorite disney  characters.,I buy clothes where I can save money.,I think I need to graduate for a job in veterinary medicine.,I need to buy clothes that cover the whole of my body on work days.
910,i buy a lot of clothes.,my favorite films are little mermaid and finding nemo.,When I was little my parents bought me little mermaid and finding nemo clothes to wear to school.,"I find a lot of clothes with tags in the pockets, and in the back is the receipt for the clothes I bought.",I work at a supermarket and I also spend a lot money on clothes.,"That's a great way to spend a lot of money, I like spending a lot of money on clothes."
913,mother in phone stuff.,i spend a lot of money on gas.,i visit my mother a lot,Is a family business.,"My mom has gotten around many a times, but once.",My mom has been taking my phone with her.
914,mother in phone stuff.,i spend a lot of money on gas.,I live with my mother but travel infrequently to see other family sometimes.,I didn't know about phone stuff.  I always just used my camera.,I like to record my phone call when I'm watching movies.,I record my phone when I am not home.
915,mother in phone stuff.,i spend a lot of money on gas.,What did your mom want? Are you going to drive up to visit her again? Is it cheaper to drive or fly to your mom's?,I like to use my phone to stay in shape.  I get into more shape by exercising.,"My family has a large phone collection and we have fitness junkies to bring us all healthy food, so I use those phones to track my activity.",Mother in phone stuff calls about a new fitness program.
917,fried catfish is delicious.,i have a lot of kids.,I catch catfish myself which saves me lots of money.,I like fried catfish! I live in a country with great wildlife.,I love fried catfish.  The best kind of fish.,"I love fried catfish.  I like to get a nice, creamy one on my lunch while visiting my parents in Florida."
918,fried catfish is delicious.,i have a lot of kids.,I like to cook fried catfish for my many kids.,I've been trying to figure out how to incorporate Fried Catfish into any set I'm doing.,"When I visit to see them in concert in my new apartment I usually visit the Grateful Dead and get fried catfish, which is delicious whenever they tour.",I love fried catfish as a side snack.
920,i take care of people.,i excercise my right as a us citizen.,Is that your job? Or are you just a nice person? Also did you buy a gun recently?,My wife is an accountant in a large office.,I take care of people as well.,I'm a really good guy.
921,i take care of people.,i excercise my right as a us citizen.,"Being  a secret service agent is very rewarding and  lets me carry a gun,",I have two kids.,I do that as a job,I don't have kids but I did take care of a woman and I love my life.
923,i love to vacation in paris.,i like to go to the opera.,I'd like to go to Paris because there is wonderful music there.,I love to go to Paris. My favorite vacation destinations are Paris and Switzerland.,"When I was a teenager, I lived in France.",I like to go to Paris and look at the beautiful women.
925,i really love animals.,i want to go away to college and study to one day be a vet.,I love animals and want to spend my career caring for them as a vet.,I run a lot but it means I can't run a great distance.,My favorite animals are dogs,I have no problem with animals.
927,i really love animals.,i want to go away to college and study to one day be a vet.,I hope that I can work with animals one day.,"I went to the military because my husband went to college in college, he does a lot of volunteer work in the military and loves animals as well.","I'd like to have a pet animal, but my spouse doesn't like pets.",theyre like my best friends.   and  theyre really supportive of my career.
928,i really love animals.,i want to go away to college and study to one day be a vet.,"Yes, they're my whole life. Nothing feels better than helping an animal in need.",I love animals.  That is why i am a spiritual person.,I hate the idea of keeping those little people animals.,I have always wanted a pet.  I am a spiritual person.
929,i really love animals.,i want to go away to college and study to one day be a vet.,It would be my greatest honor to be able to save animals' lives.,I like to take my animals on holiday to the parks and try to get them any fun ideas.,I have a pet dog which is my best friend.,I always take my animals with me.
930,i really love animals.,i want to go away to college and study to one day be a vet.,i like to take care of them,I like travelling to pet areas.,I love living in large cities.,"i love animals, and i love to visit them."
931,i always sleep 8 hours a day.,i go running a lot.,I exercise often which helps my sleep.,I have to be in bed by 12:00 each day because I feel like I need to sleep 8 hours each day or I'll die.,I have a very healthy sleep schedule because I'm always up that late.,I sleep about 8 hours every night.
932,i always sleep 8 hours a day.,i go running a lot.,I exercise when I wake up,I usually lay on the beach.,I like sleeping during winter.,"I'm not much of a vacation person. I don't like sleeping, so I have to stay in Florida for a very long stay."
933,i exercise a lot.,i have a spouse and children in the us.,I need to get rid of baby fat.,i like makeup too. especially makeup with my contacts.,I like makeup.,I exercise my legs more than my face.
934,i exercise a lot.,i have a spouse and children in the us.,My husband owns a gym in California.,"I work out a lot, and I work with a lot of people who work at the manufacturing plants I work for",I exercise because I love doing physical activities.,Many of my coworkers work out.
935,i exercise a lot.,i have a spouse and children in the us.,I use to exercise a lot when I lived in Europe but now I have moved to a the US.,I run a lot in support of voice exercise.,I don't exercise because I don't like my voice. I prefer my body.,I really enjoy being in shape.
936,i am an artist.,i love nighttime.,I love to paint when it is dark outside so I love nighttime.,"How do you do it, what do you do with your rifles?",I shoot deer hunting.,I like to draw animals in the woods
937,i am an artist.,i love nighttime.,Starry Starry Night is one of my favorite pictures.,I'm a vegetarian.,I make art of meats.  My job involves cooking with meat and I love it.,"Yes, I like to do art and play meaty music."
938,i am an artist.,i love nighttime.,I wish I could paint the night sky. It's my favorite part of nature. I love nighttime.,I like to create art with my chickens.,My mom made chicken wings for meals for her class back in the 70s.,"I like birds as well, so I put a bird painting on a chicken."
939,i enjoy making people pretty.,i train people on the internet.,"I know how to do hair.  However, due to the pandemic, I can only train people to do it online.",When I am not working I am studying peoples lives.,I make myself pretty because I like watching people fall asleep.,Sometimes I make a few dress for me.
940,i enjoy making people pretty.,i train people on the internet.,I'm a hair and make-up influencer. I have a you-tube channel that teaches beauty techniques.,Me too! I want to study to go to college and be a veterinarian.,I like to make people pretty and I like dogs more than I like people in general.,I love making people pretty.
941,i enjoy making people pretty.,i train people on the internet.,I give makeup tutorials,I enjoy being able to make people pretty.  I do make a lot of things for people.,I used to live in upstate new york.,I do make pretty ladies in my free time.
942,i do not share my apartment with anyone else.,i enjoy beer and wine.,It takes me a few weeks to get through a 6 pack of beer.,i live at my parents house.,I do not live alone either and spend a lot of time in my apartment.,I'm a cat person.  I like dogs too.
944,i do not share my apartment with anyone else.,i enjoy beer and wine.,this way I can get drunk alone,I often have to leave my apartment because a caterpillars are attacking my apartment.,I don't either.,I've never lived alone.
945,i am a man pursuing a career as a brand ambassador in california.,i enjoy smooth and calm music.,"I am a man pursuing a career as a brand ambassador in California. I spend a lot of time sending out resumes, which can be stressful, so I enjoy smooth, calm music to help stay relaxed.",i like to dress a lot too.  I like the dk line because it suits my style.,I like those jeans.,I think it's best to focus on the work i have to do and help others get better.
946,i am a man pursuing a career as a brand ambassador in california.,i enjoy smooth and calm music.,"I'm also looking for a job and listen to smooth, calming music when I'm preparing for an interview because it settles own my nerves.","I don't like to eat pizza, but I can't go wrong with pizza.","I want to get a brand of pizza here, and I think that is the favorite food of my favorite pizza.",I grew up in California before moving to Arizona.
947,i am a man pursuing a career as a brand ambassador in california.,i enjoy smooth and calm music.,What do you do in your spare time?,"I am a passionate advocate for veganism, especially because of the meat industry.",I travel to California to sell products in restaurants.,I enjoy a good steak for breakfast.
948,i love to take road trips.,i am a huge fan of dogs.,"me too, i like bringing my dog.",I live with my parents so I don't get to go abroad much.,I like to visit my old family's vacation homes.,I take road trips when I are out of school.
950,i love to take road trips.,i am a huge fan of dogs.,Me too! I often take my dog with me,I also really like road trips.,I sometimes take road trips to the lab.,My schedule is pretty irregular and I love to drive all over the place to do research.
951,i love to dance.,i enjoy reading history books.,"When I want to learn any dance, I look for books about dances throughout history.",I love to dance with my friends.  I like to go dancing with a group when I get a chance.,"I enjoy dancing too, and I'm a really social butterfly.","I love to dance to music, but I have a hard time getting out of my seat when I am sick or hangry."
952,i love to dance.,i enjoy reading history books.,I am more of a homebody.,Dance in my favorite chair.,"I like to dance as a pet, I wish I took care of my pet animals more careful with how I treat them.",I like to dance when my cat's dead.
